start (in ms),speaker,text,clarification turn,clarification type,clarification turn,clarification type,turn agreement,type agreement,clarification text
5040,Participant,hey temi can you come here,,,,,,,
12093,TEMI,sure ((temi comes to participant)) (9.0),,,,,,,
22214,TEMI,hello {Participant} how can i assist you,,,,,,,
25214,Participant,can you turn around for me,,,,,,,
30184,TEMI,why do you want me to turn around,i,Evaluating intention,i,Evaluating intention,i,Evaluating intention,why do you want me to turn around
32664,Participant,i need to see your back and scan the uhh code,f,Evaluating intention,f,Evaluating intention,f,Evaluating intention,i need to see your back and scan the uhh code
38144,TEMI,you want me to turn around,i,Paraphrasing,i,Paraphrasing,i,Paraphrasing,you want me to turn around
39808,Participant,yes please,f,Paraphrasing,f,Paraphrasing,f,Paraphrasing,yes please
44936,TEMI,okay In which direction do you want to engage in a rotational realignment,i,Request more information,i,Request more information,i,Request more information,In which direction do you want to engage in a rotational realignment
49784,Participant,right,f,Request more information,f,Request more information,f,Request more information,right
54644,TEMI,okay ((temi turns around)) (4.0),f,Request more information,f,Confirmation before action,f,Request more information,okay
69124,Participant,perfect,,,,,,,
70036,TEMI,how is this,i,Confirmation after action,i,Confirmation after action,i,Confirmation after action,how is this
71284,Participant,perfect thank you,f,Confirmation after action,f,Confirmation after action,f,Confirmation after action,perfect thank you
75244,TEMI,youre welcome (13.0) is there anything else i can do,f,Confirmation after action,,,,,
90540,Participant,uh give me just a second,,,,,,,
113564,Facilitator,you can go to the next [task]   ,,,,,,,
113431,Participant,[do what],,,,,,,
114267,Facilitator,you can go to the next task,,,,,,,
119228,Participant,okay what is it just turning on the light,,,,,,,
122236,Facilitator,uh checking okay ,,,,,,,
123245,Participant,okay,,,,,,,
124456,facilitator,checking the light in the kitchen,,,,,,,
126884,Participant,okay hey temi can you check the light for me in the kitchen,,,,,,,
134504,TEMI,do you want me to check if the oven light is switched off,i,Acoustic issue,i,Acoustic issue,i,Acoustic issue,do you want me to check if the oven light is switched off
138424,Participant,no i do not,f,Acoustic issue,f,Acoustic issue,f,Acoustic issue,no i do not
144664,TEMI,sorry i didn't understand,i,Acoustic issue,f,Acoustic issue,f,Acoustic issue,sorry i didn't understand
146784,TEMI,could you repeat that please,i,Acoustic issue,i,Request for repitition,i,Acoustic issue,could you repeat that please
148608,Participant,can you check the light in the kitchen for me,f,Acoustic issue,f,Request more information,f,Acoustic issue,can you check the light in the kitchen for me
153304,TEMI,apologies you want me to check if the kitchen light is switched off,i,Confirmation before action,i,Confirmation before action,i,Confirmation before action,you want me to check if the kitchen light is switched off
157512,Participant,yes,f,Confirmation before action,f,Confirmation before action,f,Confirmation before action,yes
164484,TEMI,okay i check ((temi goes to the kitchen)) (58.0),f,Confirmation before action,f,Confirmation before action,f,Confirmation before action,okay i check
229804,TEMI,i just checked the kitchen the light is off,,,,,,,
234174,Participant,thank you,,,,,,,
238360,TEMI,no problem,,,,,,,
241014,Participant,can you get a book for me in the kitchen,,,,,,,
247094,TEMI,sorry i didn't understand could you repeat that please,i,Acoustic issue,i,Acoustic issue,i,Acoustic issue,sorry i didn't understand could you repeat that please
251078,Participant,can you go to the kitchen and get a book,f,Acoustic issue,f,Acoustic issue,f,Acoustic issue,can you go to the kitchen and get a book
257894,TEMI,do you want me to get the book or just check if there is a book in the kitchen,i,Acoustic issue,i,Request more information,i,Acoustic issue,do you want me to get the book or just check if there is a book in the kitchen
261630,Participant,get the book,f,Acoustic issue,f,Request more information,f,Acoustic issue,get the book
267934,TEMI,okay on my way ((temi goes to the kitchen)) (52.0),f,Acoustic issue,i,Confirmation before action,f,Acoustic issue,okay on my way
322734,TEMI,there are two books in the kitchen one about statistics and one about robots which one do you want,i,Request more information,i,Request more information,i,Request more information,there are two books in the kitchen one about statistics and one about robots which one do you want
330214,Participant,pick one,f,Request more information,f,Request more information,f,Request more information,pick one
335934,TEMI,you want me to bring you the book about statistics is that correct,i,Confirmation before action,i,Confirmation before action,i,Confirmation before action,you want me to bring you the book about statistics is that correct
339554,Participant,yes please,f,Confirmation before action,f,Confirmation before action,f,Confirmation before action,yes please
344754,TEMI,okay on my way ((temi goes to the kitchen)) (62.0),f,Confirmation before action,f,Confirmation before action,f,Confirmation before action,okay on my way
409540,TEMI,i got you the book is that what you wanted,i,Confirmation after action,i,Confirmation after action,i,Confirmation after action,i got you the book is that what you wanted
