start (in ms),speaker,text,clarification turn,clarification type,clarification turn,clarification type,turn agreement,type agreement,clarification text
80,Participant,hey temi,,,,,,,
3734,TEMI,hello {Participant} how can i assist you,,,,,,,
6438,Participant,can you come over ((temi comes to participant)) (22.0) ,,,,,,,
28438,Participant,can you turn your back to me,,,,,,,
35354,TEMI,do you want me to turn the volume up or down,i,Acoustic issue,i,Acoustic issue,i,Acoustic issue,do you want me to turn the volume up or down
37698,Participant,no i want you to turn around,f,Acoustic issue,f,Acoustic issue,f,Acoustic issue,no i want you to turn around
49594,TEMI,why do you want me to turn around,i,Evaluating intention,i,Evaluating intention,i,Evaluating intention,why do you want me to turn around
51618,Participant,because i need to scan the qr code behind you,f,Evaluating intention,f,Evaluating intention,f,Evaluating intention,because i need to scan the qr code behind you
57824,TEMI,okay in which direction do you want to engage in a rotational realignment,i,Request more information,i,Request more information,i,Request more information,in which direction do you want to engage in a rotational realignment
63784,Participant,uhm the clockwise direction,f,Request more information,f,Request more information,f,Request more information,the clockwise direction
71944,TEMI,so you were saying i should rotate to the right,i,Confirmation before action,i,Confirmation before action,i,Confirmation before action,so you were saying i should rotate to the right
74336,Participant,yes ((temi turns around)) (20.5) next one,f,Confirmation before action,f,Confirmation before action,f,Confirmation before action,yes
97868,Facilitator,yeah,,,,,,,
106784,Participant,can you check if the light its on um i dont get it,,,,,,,
107349,Facilitator,sorry  ,,,,,,,
108773,Participant,i dont get it,,,,,,,
115184,Facilitator,look at the bottom,,,,,,,
116824,Participant,can you check which light is not on in this room temi,,,,,,,
122744,Facilitator,no be more careful at the bottom you have some allocation,,,,,,,
128883,Participant,kitchen hey temi,,,,,,,
132963,TEMI,is this what you wanted,i,Confirmation after action,i,Confirmation after action,i,Confirmation after action,is this what you wanted
135283,Participant,yes this is what i wanted but uh i want you to go to the kitchen,i,Confirmation after action,f,Confirmation after action,i,Confirmation after action,yes this is what i wanted but uh i want you to go to the kitchen
147323,TEMI,sorry can you repeat that,f,Confirmation after action,i,Confirmation after action,f,Confirmation after action,sorry can you repeat that
149555,Participant,i want you to go to the kitchen (14.0) hey temi,f,Acoustic issue,f,Acoustic issue,f,Acoustic issue,i want you to go to the kitchen
165304,TEMI,why do you want me to go to the kitchen,i,Evaluating intention,i,Evaluating intention,i,Evaluating intention,why do you want me to go to the kitchen
169264,Participant,because it feels nice there (3.5) because i want you to check if [the light],f,Evaluating intention,f,Evaluating intention,f,Evaluating intention,because it feels nice there (3.5) because i want you to check if [the light]
